CWE name,Availability,Confidentiality,Integrity,Access Control,Non-Repudiation
22,1,1,1,0,0
89,0,1,1,1,0
669,0,1,1,0,0
416,1,1,1,0,0
434,1,1,1,0,0
79,1,1,1,1,0
732,0,1,1,1,0
787,1,0,1,0,0
77,1,1,1,0,0
276,0,1,1,0,0
120,1,1,1,0,0
269,0,0,0,1,0
20,1,1,1,0,0
798,1,1,1,1,0
863,0,1,1,1,0
400,1,0,0,1,0
401,1,0,0,0,0
913,0,0,1,0,0
78,1,1,1,0,1
362,1,1,1,0,0
352,1,1,1,1,1
287,1,1,1,1,0
754,1,0,1,0,0
259,0,0,0,1,0
200,0,1,0,0,0
829,1,1,1,0,0
1236,0,1,0,0,0
476,1,1,1,0,0
384,0,0,0,1,0
23,1,1,1,0,0
125,0,1,0,0,0
668,0,1,1,0,0
306,0,0,0,1,0
59,0,1,1,1,0
312,0,1,0,0,0
88,1,1,1,0,0
862,0,1,1,1,0
835,1,0,0,0,0
36,1,1,1,0,0
522,0,0,0,1,0
610,0,1,1,0,0
121,1,1,1,1,0
611,1,1,1,0,0
415,1,1,1,0,0
601,0,1,0,1,0
824,1,1,1,0,0
770,1,0,0,0,0
502,1,0,1,0,0
319,0,1,1,0,0
294,0,0,0,1,0
203,0,1,0,1,0
74,0,1,1,1,1
281,0,1,1,0,0
190,1,1,1,1,0
426,1,1,1,1,0
521,0,0,0,1,0
295,0,0,1,0,0
94,1,1,1,1,1
326,0,1,0,1,0
459,0,1,1,0,0
131,1,1,1,0,0
122,1,1,1,1,0
73,1,1,1,0,0
613,0,0,0,1,0
1284,0,0,0,0,0
532,0,1,0,0,0
404,1,1,0,0,0
617,1,0,0,0,0
682,1,1,1,1,0
284,0,0,0,0,0
436,0,0,1,0,0
552,0,1,1,0,0
209,0,1,0,0,0
1021,0,0,0,1,0
307,0,0,0,1,0
772,1,0,0,0,0
347,0,1,1,1,0
922,0,1,1,0,0
444,0,0,1,1,1
639,0,0,0,1,0
755,0,0,0,0,0
1188,0,0,0,0,0
565,0,0,0,1,0
918,0,1,1,0,0
640,1,0,1,1,0
119,1,1,1,0,0
908,1,1,0,0,0
681,0,0,1,0,0
697,0,0,0,0,0
194,1,1,1,0,0
843,1,1,1,0,0
116,1,1,1,1,0
330,0,1,0,1,0
427,1,1,1,0,0
523,0,0,0,1,0
763,1,1,1,0,0
665,1,1,0,1,0
367,0,0,1,0,1
1321,1,0,1,0,0
909,1,1,0,0,0
126,0,1,0,0,0
327,0,1,1,0,1
788,1,1,1,0,0
93,0,0,1,0,0
405,1,0,0,0,0
1333,1,0,0,0,0
123,1,1,1,1,0
346,0,0,0,1,0
470,1,1,1,0,0
290,0,0,0,1,0
256,0,0,0,1,0
789,1,0,0,0,0
494,1,1,1,0,0
667,1,0,0,0,0
129,1,1,1,0,0
369,1,0,0,0,0
335,0,0,0,1,0
674,1,1,0,0,0
193,1,1,1,1,0
124,1,1,1,1,0
425,1,1,1,1,0
457,1,0,1,0,0
264,0,0,0,0,0
924,0,1,1,0,0
178,0,0,0,1,0
252,1,0,1,0,0
134,1,1,1,0,0
184,0,0,0,1,0
428,1,1,1,0,0
548,0,1,0,0,0
672,1,1,1,0,0
250,1,1,1,1,0
191,1,1,1,1,0
311,0,1,1,0,0
345,0,0,1,0,0
379,0,1,0,0,0
61,0,1,1,0,0
305,0,0,0,1,0
297,0,0,0,1,0
359,0,1,0,0,0
704,0,0,0,0,0
693,0,0,0,1,0
706,0,1,1,0,0
212,0,1,0,0,0
316,0,1,0,0,0
90,1,1,1,0,0
285,0,1,1,1,0
662,0,1,1,0,0
471,0,0,1,0,0
776,1,0,0,0,0
475,0,0,0,0,0
916,0,0,0,1,0
538,0,1,0,0,0
822,1,1,1,0,0
497,0,1,0,0,0
170,1,1,1,1,0
273,0,0,0,1,1
277,0,1,1,0,0
1278,0,1,0,0,0
318,0,1,0,0,0
201,0,1,0,0,0
377,0,1,1,0,0
670,0,0,0,0,0
354,0,0,1,0,1
16,0,0,0,0,0
912,0,0,1,0,0
834,1,0,0,0,0
202,0,1,0,0,0
915,0,0,1,0,0
708,0,1,1,0,0
540,0,1,0,0,0
358,0,0,0,1,0
91,1,1,1,0,0
321,0,0,0,1,0
240,0,0,1,0,0
95,1,1,1,1,1
363,0,1,1,0,0
917,0,1,1,0,0
304,0,1,1,1,0
472,0,0,1,0,0
338,0,0,0,1,0
353,0,0,1,0,1
549,0,0,0,1,0
799,1,0,0,1,0
204,0,1,0,1,0
300,0,1,1,1,0
489,1,1,1,1,0
331,0,0,0,1,0
823,1,1,1,0,0
1022,0,1,0,0,0
267,0,0,0,1,0
248,1,1,0,0,0
24,0,1,1,0,0
571,0,0,0,0,0
378,0,1,1,0,0
266,0,0,0,1,0
525,0,1,0,0,0
807,1,1,0,1,0
130,0,1,1,0,0
288,0,0,0,1,0
527,0,1,0,0,0
115,0,0,1,0,0
302,0,0,0,1,0
241,0,0,1,0,0
99,0,1,1,0,0
602,1,0,0,1,0
805,1,1,1,0,0
539,0,1,0,0,0
406,1,0,0,0,0
424,0,0,0,1,0
29,0,1,1,0,0
657,0,0,0,0,0
0,0,0,0,0,0
187,0,0,1,1,0
275,0,0,0,0,0
80,1,1,1,0,0
840,0,0,0,0,0
391,0,0,1,0,0
117,1,1,1,0,1
75,1,1,1,0,0
759,0,0,0,1,0
257,0,1,0,1,0
598,0,1,0,0,0
671,0,0,0,0,0
322,0,1,0,1,0
15,0,0,0,0,0
710,0,0,0,0,0
35,0,1,1,0,0
407,1,0,0,0,0
688,0,0,0,0,0
350,0,0,0,1,0
228,1,0,1,0,0
1329,0,1,1,1,0
1283,0,1,0,0,0
680,1,1,1,0,0
315,0,1,0,0,0
1004,0,1,1,0,0
451,0,0,0,1,1
208,0,1,0,1,0
648,1,1,1,1,0
644,1,1,1,0,0
1336,0,0,1,0,0
911,0,0,0,0,0
303,0,0,0,1,0
620,0,0,0,1,0
757,0,0,0,1,0
778,0,0,0,0,1
242,0,0,0,0,0
64,0,1,1,0,0
1076,0,0,0,0,0
112,0,0,1,0,0
283,0,0,0,1,0
