ID,Title,Model,Tactics,Refer.
AML.CS0015,India’s Tek Fog Shrouds an Escalating Political War,Transformers (GPT-2),"Resource Development (Establish Accounts), Initial Access (Valid Accounts), ML Attack Staging (Create Proxy ML model: Use Pre-Trained Model), Exfiltration (Exfiltration via Cyber Means)",https://thewire.in/tekfog/en/2.html
AML.CS0016,"Meta says it's shut down a pro-Russian disinformation network, warns of a social media hacking operation",N/A,"Resource Development (Establish Accounts),Initial Access (Valid Accounts),  Exfiltration (Exfiltration via Cyber Means)",https://edition.cnn.com/2022/02/28/tech/meta-russia-ukraine-disinformation-network/index.html
AML.CS0017,"Libyan Fighters Attacked by a Potentially Unaided Drone, UN Says",CNN,"Reconnaissance (Identify Target), Impact (Human Destruction)",https://www.nytimes.com/2021/06/03/world/africa/libya-drone.html
AML.CS0018,YouTube algorithm accidentally blocks 'black v white' CHESS strategy,Youtube Video classifier,N/A,https://www.dailymail.co.uk/sciencetech/article-9279473/YouTube-algorithm-accidentally-blocked-chess-player-discussing-black-versus-white-strategy.html
AML.CS0019,Was a flying killer robot used in Libya? Quite possibly,CNN,"Reconnaissance (Identify Target), Impact (Human Destruction)",https://thebulletin.org/2021/05/was-a-flying-killer-robot-used-in-libya-quite-possibly/
AML.CS0020,Tesla told France there was no sign of technical fault in Paris crash,N/A,N/A,https://www.reuters.com/business/autos-transportation/french-transport-minister-says-not-worried-about-tesla-after-paris-car-accident-2021-12-15/
AML.CS0021,Rohingya refugees sue Facebook for $150 billion over Myanmar violence,N/A,N/A,https://www.reuters.com/world/asia-pacific/rohingya-refugees-sue-facebook-150-billion-over-myanmar-violence-2021-12-07/
AML.CS0022,CEO says controversial AI chatbot ‘Luda’ will socialize in time,Mesh autoencoders (NLP),N/A,http://www.koreaherald.com/view.php?ud=20210111001051
AML.CS0023,"Fraudsters Cloned Company Director’s Voice In $35 Million Bank Heist, Police Find",Deep Voice,Impact (Cost Harvesting),https://www.forbes.com/sites/thomasbrewster/2021/10/14/huge-bank-fraud-uses-deep-fake-voice-tech-to-steal-millions/?sh=419d63bc7559
AML.CS0024,When an Israeli Farmer Declared War on an Algorithm,N/A,N/A,https://www.haaretz.com/israel-news/tech-news/.premium-when-an-israeli-farmer-declared-war-on-an-algorithm-1.9440728
AML.CS0025,"Facebook’s race-blind practices around hate speech came at the expense of Black users, new documents show",N/A,N/A,https://www.washingtonpost.com/technology/2021/11/21/facebook-algorithm-biased-race/
AML.CS0026,The Christchurch shooter and YouTube’s radicalization trap,N/A,N/A,https://www.wired.com/story/christchurch-shooter-youtube-radicalization-extremism/
AML.CS0027,Tay (bot),,,https://en.wikipedia.org/wiki/Tay_(bot)
AML.CS0028,Poachers evade KZN park’s high-tech security and kill four rhinos for their horns,Image Recognition (CNN),Defense Evasion (Evade ML Model),https://www.iol.co.za/dailynews/news/poachers-evade-kzn-parks-high-tech-security-and-kill-four-rhinos-for-their-horns--fae0d804-3917-438c-9d5f-dcf16909cac2
AML.CS0029,#LekkiMassacre: Why Facebook labelled content from October 20 incident ‘false’,N/A,N/A,https://techpoint.africa/2020/10/22/facebook-lekkimassacre-false/
AML.CS0030,"In Spain, the VioGén algorithm attempts to forecast gender violence",VioGen,N/A,https://algorithmwatch.org/en/viogen-algorithm-gender-violence/
AML.CS0031,Stanislav Petrov: The Forgotten Man who Saved the World From Nuclear War,N/A,N/A,https://71republic.com/2019/01/05/stanislav-petrov-forgotten-man/
AML.CS0032,Understanding The DAO hack in 10 questions,N/A,"Impact (Cost Harvesting, Denial of Service)",https://blog.bity.com/what-the-dao-navigating-the-hack/
AML.CS0033,Tencent Keen Security Lab: Experimental Security Research of Tesla Autopilot,Fisheye CNN,ML Attack Staging (Craft Adversarial Data),https://keenlab.tencent.com/en/2019/03/29/Tencent-Keen-Security-Lab-Experimental-Security-Research-of-Tesla-Autopilot/
AML.CS0034,Nuclear Near Miss: Remembering the ‘Man Who Saved the World’,N/A,N/A,https://www.russiamatters.org/blog/nuclear-near-miss-remembering-man-who-saved-world
AML.CS0035,Fraudsters Used AI to Mimic CEO’s Voice in Unusual Cybercrime Case,N/A,Impact (Cost Harvesting),https://www.wsj.com/articles/fraudsters-use-ai-to-mimic-ceos-voice-in-unusual-cybercrime-case-11567157402
AML.CS0036,Three Small Stickers in Intersection Can Cause Tesla Autopilot to Swerve Into Wrong Lane,Fisheye CNN,ML Attack Staging (Craft Adversarial Data),https://spectrum.ieee.org/three-small-stickers-on-road-can-steer-tesla-autopilot-into-oncoming-lane
AML.CS0037,The DAO (organization),N/A,N/A,https://en.wikipedia.org/wiki/The_DAO_(organization)
AML.CS0038,Happy 35th Anniversary to the Closest the World Has Come to Total Nuclear Annihilation!,N/A,N/A,https://www.pastemagazine.com/articles/2018/09/happy-35-year-anniversary-to-the-closest-the-world.html
AML.CS0039,"AI Safety, Leaking Abstractions and Boeing’s 737 Max 8",Maneuvering Characteristics Augmentation System (MCAS),N/A,https://medium.com/intuitionmachine/ai-safety-leaking-abstractions-and-boeings-737-max-8-5d4b3b9bf0c3
AML.CS0040,Lion Air plane had angle of attack sensor replaced prior to crash; Boeing issues safety reminder,Maneuvering Characteristics Augmentation System (MCAS),N/A,https://www.abc.net.au/news/2018-11-08/lion-air-flight-had-crucial-sensor-replaced-prior-to-fatal-crash/10475468
AML.CS0041,Lion Air Plane Crash: Crucial 'Angle Of Attack' Sensor Replaced Before Crash,Maneuvering Characteristics Augmentation System (MCAS),N/A,https://www.iafrica.com/lion-air-plane-crash-crucial-angle-of-attack-sensor-replaced-before-crash/
AML.CS0042,Man who 'saved the world' Stanislav Petrov awarded for spotting US nuke attack was a false alarm,N/A,N/A,https://www.dailymail.co.uk/news/article-6217643/Man-saved-world-Stanislav-Petrov-awarded-spotting-nuke-attack-false-alarm.html
AML.CS0043,Man who 'saved the world' Stanislav Petrov FINALLY given award 35 years after he recognised US nuke attack was a false alarm,N/A,N/A,https://www.thesun.co.uk/news/7366945/man-who-saved-the-world-stanislav-petrov-finally-given-award-35-years-after-he-recognised-us-nuke-attack-was-a-false-alarm/
AML.CS0044,IBM Used NYPD Surveillance Footage to Develop Technology that Lets Police Search by Skin Color,Facial Recognition (CNN),N/A,https://theintercept.com/2018/09/06/nypd-surveillance-camera-skin-tone-search/
AML.CS0045,Boeing issues bulletin for pilots after Lion Air sensor data error,N/A,N/A,https://www.reuters.com/article/indonesia-crash-boeing/boeing-issues-bulletin-for-pilots-after-lion-air-sensor-data-error-idUSB9N1X603X
AML.CS0046,Indonesian officials: Problems with sensor found on crashed Lion Air jet,Maneuvering Characteristics Augmentation System (MCAS),N/A,https://news.cgtn.com/news/3d3d674e3163444e30457a6333566d54/share_p.html
AML.CS0047,Report: Lion Air pilots unable to correct for faulty sensor,Maneuvering Characteristics Augmentation System (MCAS),N/A,https://www.mercurynews.com/2018/11/28/report-lion-air-pilots-unable-to-correct-faulty-sensor/
AML.CS0048,"35 years ago today, one man saved us from world-ending nuclear war",N/A,N/A,https://www.vox.com/2018/9/26/17905796/nuclear-war-1983-stanislav-petrov-soviet-union
AML.CS0049,Lion Air: Sensor was replaced day before crash but problems persisted,Maneuvering Characteristics Augmentation System (MCAS),N/A,https://edition.cnn.com/2018/11/08/asia/lion-air-sensor-replaced-intl/index.html
AML.CS0050,Crash Of Lion Air 737 MAX Raises Questions About Autopilot And Pilot Skills,Maneuvering Characteristics Augmentation System (MCAS),N/A,https://www.forbes.com/sites/jeremybogaisky/2018/11/08/crash-of-lion-air-737-max-raises-questions-about-autopilot-and-pilot-skills/#133731448477
AML.CS0051,Lion Air Flight JH 160 Crash Sensor Replacement,Maneuvering Characteristics Augmentation System (MCAS),N/A,https://www.popularmechanics.com/flight/airlines/a24841961/sensor-replaced-one-day-before-lion-air-flight-jh-160-crash/
AML.CS0052,"New Clues to Lion Air 737 Max Crash Revealed in Boeing, FAA Warnings",Maneuvering Characteristics Augmentation System (MCAS),N/A,https://www.insurancejournal.com/news/international/2018/11/08/507060.htm
AML.CS0053,"Faulty Lion Air sensor wasn’t fixed before crash, preliminary report finds",Maneuvering Characteristics Augmentation System (MCAS),N/A,https://www.businesstimes.com.sg/transport/faulty-lion-air-sensor-wasn%E2%80%99t-fixed-before-crash-preliminary-report-finds
AML.CS0054,Meet the man who single-handedly stopped a nuclear war,N/A,N/A,https://medium.com/the-mission/meet-the-man-who-single-handedly-stopped-a-nuclear-war-5986ff010b60
AML.CS0055,The DAO Hack - Stolen $50M & The Hard Fork.,N/A,"Impact (Cost Harvesting, Denial of Service)",https://cryptocurrencyhub.io/the-dao-hack-stolen-50m-the-hard-fork-8719fb5f28be
AML.CS0056,Why Facebook is losing the war on hate speech in Myanmar,N/A,N/A,https://www.reuters.com/investigates/special-report/myanmar-facebook-hate
AML.CS0057,"Because Stanislav Petrov reported a computer malfunction in 1983, we know him today as ""The man who saved the world""",N/A,N/A,https://www.thevintagenews.com/2018/01/30/stanislav-petrov/
AML.CS0058,"Stanislav Petrov, the Soviet officer 'saved' the world from nuclear war",N/A,N/A,https://www.businessinsider.com/stanislav-petrov-the-soviet-officer-saved-the-world-from-nuclear-war-2018-9
AML.CS0059,Southwest replaced flight-control sensors of the kind implicated in Lion Air crash,Maneuvering Characteristics Augmentation System (MCAS),N/A,https://www.marketwatch.com/story/southwest-replaced-flight-control-sensors-of-the-kind-implicated-in-lion-air-crash-2018-11-16
AML.CS0060,"Report Faults Safety Failures, Defects in Lion Air Crash",Maneuvering Characteristics Augmentation System (MCAS),N/A,https://www.courthousenews.com/report-faults-safety-failures-defects-in-lion-air-crash/
AML.CS0061,Unmasking A.I.'s Bias Problem,N/A,N/A,http://fortune.com/longform/ai-bias-problem/
AML.CS0062,"The Computer That Almost Started A Nuclear War, And The Man Who Stopped It",N/A,N/A,https://www.forbes.com/sites/kionasmith/2018/09/25/the-computer-that-almost-started-a-nuclear-war-and-the-man-who-stopped-it/#41cccb292835
AML.CS0063,"Report faults safety failures, defects in Lion Air crash",Maneuvering Characteristics Augmentation System (MCAS),N/A,https://www.apnews.com/4cf97e9b0a004cf5a0db401bb1d222e1
AML.CS0064,"Amazon Warehouse Bear Spray Accident Injures Dozens, One Critically",N/A,N/A,https://www.popularmechanics.com/technology/infrastructure/a25414009/amazon-warehouse-bear-spray-accident/
AML.CS0065,The DAO Hack and Blockchain Security Vulnerabilities,N/A,"Impact (Cost Harvesting, Denial of Service)",https://coincentral.com/blockchain-security-vulnerabilities/
AML.CS0066,Possible fault in Lion Air plane similar to a cause of Air New Zealand Airbus A320 France crash,N/A,N/A,https://www.nzherald.co.nz/business/news/article.cfm?c_id=3&objectid=12151363
AML.CS0067,What we've got here is a failure to communicate,,,https://www.usatoday.com/story/opinion/2018/12/04/lion-air-what-weve-got-here-failure-communicate-editorials-debates/2192044002/
AML.CS0068,Pilots struggled against Boeing’s 737 MAX control system on doomed Lion Air flight,Maneuvering Characteristics Augmentation System (MCAS),N/A,https://www.seattletimes.com/business/boeing-aerospace/black-box-data-reveals-lion-air-pilots-struggle-against-boeings-737-max-flight-control-system/
AML.CS0069,When White Supremacists Target the Black Elderly,N/A,N/A,http://nymag.com/intelligencer/2018/10/white-supremacist-shooting-in-louisville-kentucky-kroger.html
AML.CS0070,"A Google translation isn't enough evidence to send someone to jail, finds the judge in a narcotics case (GOOG, GOOGL)",N/A,N/A,https://finance.yahoo.com/news/google-translation-isn-apos-t-001142325.html
AML.CS0074,"Children's YouTube is still churning out blood, suicide and cannibalism",N/A,N/A,https://www.wired.co.uk/article/youtube-for-kids-videos-problems-algorithm-recommend
AML.CS0075,The DAO Hack Explained: Unfortunate Take-off of Smart Contracts,N/A,"Impact (Cost Harvesting, Denial of Service)",https://medium.com/@ogucluturk/the-dao-hack-explained-unfortunate-take-off-of-smart-contracts-2bd8c8db3562
AML.CS0076,Top 5 AI Failures From 2017 Which Prove That ‘Perfect AI’ Is Still A Dream,N/A,N/A,https://www.analyticsindiamag.com/top-5-ai-failures-from-2017-which-prove-that-perfect-ai-is-still-a-dream/
